Chapter,Entry,English Meaning,Pinyin,Simplified characters,Traditional characters,Comment
2,280,"infant, baby",yīng’ér,婴儿,嬰兒,
2,310,husband,zhàngfu,丈夫,丈夫,
2,320,wife,qīzi,妻子,妻子,
2,330,marry,jiéhūn,结婚,結婚,
2,340,"marriage, wedding",hūnyīn,婚姻,婚姻,marriage
2,340,"marriage, wedding",hūnlǐ,婚礼,婚禮,wedding
2,341,divorce,líhūn,离婚,離婚,
2,350,father,fùqin,父亲,父親,
2,360,mother,mǔqin,母亲,母親,
2,370,parents,fùmǔ,父母,父母,
2,380,married man,yǐhūn nánrén,已婚男人,已婚男人,
2,390,married woman,yǐhūn nǚrén,已婚女人,已婚女人,
2,410,son,érzi,儿子,兒子,
2,420,daughter,nǚ’ér,女儿,女兒,
2,430,offspring (son or daughter),zǐnǚ,子女,子女,
2,440,brother,xiōngdì,兄弟,兄弟,
2,444,older brother,gēge,哥哥,哥哥,
2,445,younger brother,dìdi,弟弟,弟弟,
2,450,sister,jiěmèi,姐妹,姐妹,
2,454,older sister,jiějie,姐姐,姐姐,
2,455,younger sister,mèimei,妹妹,妹妹,
2,456,sibling,xiōngdì jiěmèi,兄弟姐妹,兄弟姐妹,
2,458,twins,shuāngbāotāi,双胞胎,雙胞胎,
2,460,grandfather,zǔfù,祖父,祖父,paternal
2,460,grandfather,wàizǔfù,外祖父,外祖父,maternal
2,461,old man,lǎorén,老人,老人,
2,470,grandmother,zǔmǔ,祖母,祖母,paternal
2,470,grandmother,wàizǔmǔ,外祖母,外祖母,maternal
2,471,old woman,lǎo fùrén,老妇人,老婦人,
2,480,grandson,sūnzi,孙子,孫子,son’s son
2,480,grandson,wàisūn,外孙,外孫,daughter’s son
2,490,granddaughter,sūnnǚ,孙女,孫女,son’s daughter
2,490,granddaughter,wàisūnnǚ,外孙女,外孫女,daughter’s daughter
2,510,uncle,,,,
2,511,mother's brother,jiùfù,舅父,舅父,
2,512,father's brother,bófù,伯父,伯父,father’s older brother
2,512,father's brother,shūfù,叔父,叔父,father’s younger brother
2,520,aunt,,,,
2,521,mother's sister,yímǔ,姨母,姨母,
2,522,father's sister,gūmǔ,姑母,姑母,
2,530,nephew,zhízi,侄子,侄子,father’s sibling’s son
2,530,nephew,wàisheng,外甥,外甥,mother’s sibling’s son
2,540,niece,zhínǚ,侄女,侄女,father’s sibling’s daughter
2,540,niece,wàishengnǚ,外甥女,外甥女,mother’s sibling’s daughter
2,550,cousin,tángxiōngdì,堂兄弟,堂兄弟,father’s brother’s son
2,550,cousin,biǎoxiōngdì,表兄弟,表兄弟,other male cousin
2,550,cousin,tánɡjiěmèi,堂姐妹,堂姐妹,father’s brother’s daughter
2,550,cousin,biǎojiěmèi,表姐妹,表姐妹,other female cousin
2,560,ancestors,zǔxiān,祖先,祖先,
2,570,descendants,hòudài,后代,後代,
2,610,father-in-law (of a man),yuèfù,岳父,岳父,
2,611,father-in-law (of a woman),gōnggong,公公,公公,
2,620,mother-in-law (of a man),yuèmǔ,岳母,岳母,
2,621,mother-in-law (of a woman),pópo,婆婆,婆婆,
2,630,son-in-law (of a man),nǚxu,女婿,女婿,
2,631,son-in-law (of a woman),nǚxu,女婿,女婿,
2,640,daughter-in-law (of a man),érxífu,儿媳妇,兒媳婦,
2,641,daughter-in-law (of a woman),érxífu,儿媳妇,兒媳婦,
2,710,stepfather,jìfù,继父,繼父,
2,720,stepmother,jìmǔ,继母,繼母,
2,730,stepson,jìzǐ,继子,繼子,
2,740,stepdaughter,jìnǚ,继女,繼女,
2,750,orphan,gū'ér,孤儿,孤兒,
2,760,widow,guǎfu,寡妇,寡婦,
2,770,widower,guānfū,鳏夫,鰥夫,
2,810,"relatives, kinsmen",qīnqi,亲戚,親戚,general
2,810,"relatives, kinsmen",qīnshǔ,亲属,親屬,close
2,820,family,jiātíng,家庭,家庭,
2,910,I,wǒ,我,我,
2,920,you (singular),nǐ,你,你,
2,930,he/she/it,tā,他,他,he
2,930,he/she/it,tā,她,她,she
2,930,he/she/it,tā,它,它,it
2,940,we,wǒmen,我们,我們,
2,941,we (inclusive),zánmen,咱们,咱們,Northern
2,942,we (exclusive),wǒmen,我们,我們,Northern
2,950,you (plural),nǐmen,你们,你們,
2,960,they,tāmen,他们,他們,he.PL
2,960,they,tāmen,她们,她們,she.PL
2,960,they,tāmen,它们,它們,it.PL
3,110,animal,dòngwù,动物,動物,
3,120,male (adj),xióngxìng,雄性,雄性,choice depends on animal
3,120,male (adj),gōng,公,公,choice depends on animal
3,130,female (adj),cíxìng,雌性,雌性,choice depends on animal
3,130,female (adj),mǔ,母,母,choice depends on animal
3,150,livestock,shēngchù,牲畜,牲畜,
3,160,pasture,mùchǎng,牧场,牧場,
3,180,herdsman,mùrén,牧人,牧人,
3,190,"stable, stall",mǎjiù,马厩,馬廄,for horses
3,190,"stable, stall",chùlán,畜栏,畜欄,for other animals
3,200,cattle (bovine),niú,牛,牛,
3,210,bull,gōngniú,公牛,公牛,
3,220,ox,niú,牛,牛,
3,230,cow,mǔniú,母牛,母牛,
3,240,calf,niúdú,牛犊,牛犢,
3,250,sheep,yáng,羊,羊,
3,260,ram,gōngyáng,公羊,公羊,
3,280,ewe,mǔyáng,母羊,母羊,
3,290,lamb,gāoyáng,羔羊,羔羊,
3,320,boar,gōngzhū,公猪,公豬,
3,340,sow,mǔzhū,母猪,母豬,
3,350,pig,zhū,猪,豬,
3,360,goat,shānyáng,山羊,山羊,
3,370,he-goat,gōng shānyáng,公山羊,公山羊,
3,380,kid,xiǎo shānyáng,小山羊,小山羊,
3,410,horse (equine),mǎ,马,馬,
3,420,stallion,gōngmǎ,公马,公馬,
3,440,mare,mǔmǎ,母马,母馬,
3,450,"foal, colt",xiǎomǎ,小马,小馬,
3,460,"ass, donkey",lǘ,驴,驢,
3,470,mule,luózi,骡子,騾子,
3,500,fowl,jiāqín,家禽,家禽,
3,520,"cock, rooster",gōngjī,公鸡,公雞,
3,540,hen,mǔjī,母鸡,母雞,
3,550,chicken,jī,鸡,雞,
3,560,goose,é,鹅,鵝,
3,570,duck,yā,鸭,鴨,
3,580,nest,wō,窝,窩,
3,581,bird,niǎo,鸟,鳥,
3,582,seagull,hǎi’ōu,海鸥,海鷗,
3,583,heron,lù,鹭,鷺,
3,584,eagle,yīng,鹰,鷹,
3,585,hawk,yīng,鹰,鷹,different species
3,585,hawk,sǔn,隼,隼,different species
3,586,vulture,wùjiù,兀鹫,兀鷲,
3,591,bat,biānfú,蝙蝠,蝙蝠,
3,592,parrot,yīngwǔ,鹦鹉,鸚鵡,
3,593,crow,wūyā,乌鸦,烏鴉,
3,594,dove,gēzi,鸽子,鴿子,
3,596,owl,māotóuyīng,猫头鹰,貓頭鷹,
3,610,dog,gǒu,狗,狗,
3,614,rabbit,tù,兔,兔,
3,620,cat,māo,猫,貓,
3,622,opossum,fùshǔ,负鼠,負鼠,
3,630,"mouse, rat",shǔ,鼠,鼠,
3,650,fish,yú,鱼,魚,
3,652,fin (dorsal),qí,鳍,鰭,
3,653,fishscale,yúlín,鱼鳞,魚鱗,
3,654,gill,yúsāi,鱼鳃,魚鰓,
3,655,shell,bèiké,贝壳,貝殼,
3,661,shark,shāyú,鲨鱼,鯊魚,
3,662,"porpoise, dolphin",hǎitún,海豚,海豚,
3,663,whale,jīng,鲸,鯨,
3,664,stingray,hóng,魟,魟,
3,665,freshwater eel,mányú,鳗鱼,鰻魚,
3,710,wolf,láng,狼,狼,
3,720,lion,shīzi,狮子,獅子,
3,730,bear,xióng,熊,熊,
3,740,fox,húli,狐狸,狐狸,
3,750,deer,lù,鹿,鹿,
3,760,monkey,hóuzi,猴子,猴子,
3,770,elephant,dàxiàng,大象,大象,
3,780,camel,luòtuo,骆驼,駱駝,
3,810,insect,kūnchóng,昆虫,昆蟲,
3,811,louse,shīzi,虱子,蝨子,Traditional also 虱子
3,812,nit (louse egg),shīzi luǎn,虱子卵,蝨子卵,Traditional also 虱子卵
3,813,flea,tiàozao,跳蚤,跳蚤,
3,814,centipede,wúgōng,蜈蚣,蜈蚣,
3,815,scorpion,xiēzi,蝎子,蠍子,
3,816,cockroach,zhāngláng,蟑螂,蟑螂,
3,817,ant,mǎyǐ,蚂蚁,螞蟻,
3,818,spider,zhīzhū,蜘蛛,蜘蛛,
3,819,spider web,zhīzhūwǎng,蜘蛛网,蜘蛛網,
3,820,bee,mìfēng,蜜蜂,蜜蜂,
3,821,beeswax,fēnglà,蜂蜡,蜂蠟,
3,822,beehive,fēngwō,蜂窝,蜂窩,
3,823,wasp,huángfēng,黄蜂,黃蜂,
3,830,fly,cāngying,苍蝇,蒼蠅,
3,831,"sandfly (midge), gnat",báilíng,白蛉,白蛉,
3,832,mosquito,wénzi,蚊子,蚊子,
3,840,worm,rúchóng,蠕虫,蠕蟲,
3,850,snake,shé,蛇,蛇,
3,910,firefly,yínghuǒchóng,萤火虫,螢火蟲,
3,920,butterfly,húdié,蝴蝶,蝴蝶,
3,930,grasshopper,zhàměng,蚱蜢,蚱蜢,
3,940,snail,wōniú,蜗牛,蝸牛,
3,950,frog,qīngwā,青蛙,青蛙,
3,960,lizard,xīyì,蜥蜴,蜥蜴,
3,970,"crocodile, alligator",èyú,鳄鱼,鰐魚,
3,980,turtle,hǎiguī,海龟,海龜,Traditional character for guī may not show correctly in all fonts; see https://en.wiktionary.org/wiki/%E9%BE%9C
4,110,body,shēntǐ,身体,身體,
4,120,"skin, hide",pífū,皮肤,皮膚,
4,130,flesh,ròu,肉,肉,
4,140,hair (head),tóufa,头发,頭髮,
4,142,beard,húxū,胡须,鬍鬚,
4,144,body hair,tǐmáo,体毛,體毛,
4,145,pubic hair,yīnmáo,阴毛,陰毛,
4,146,dandruff,tóuxiè,头屑,頭屑,
4,150,blood,xuè,血,血,
4,150,blood,xiě,血,血,
4,151,"vein, artery",jìngmài,静脉,靜脈,vein
4,151,"vein, artery",dòngmài,动脉,動脈,artery
4,160,bone,gǔtou,骨头,骨頭,
4,162,rib,lèigǔ,肋骨,肋骨,
4,170,horn,jiǎo,角,角,
4,180,tail,wěi,尾,尾,
4,190,back,bèi,背,背,
4,191,spine,jǐzhù,脊柱,脊柱,
4,200,head,tóu,头,頭,
4,201,"side of head, temple",tàiyángxué,太阳穴,太陽穴,
4,202,skull,lúgǔ,颅骨,顱骨,
4,203,brain,nǎo,脑,腦,
4,204,face,liǎn,脸,臉,
4,205,forehead,é,额,額,
4,207,jaw,hé,颌,頜,
4,208,cheek,miànjiá,面颊,面頰,
4,209,chin,xiàba,下巴,下巴,
4,210,eye,yǎnjing,眼睛,眼睛,
4,212,eyebrow,méimao,眉毛,眉毛,
4,213,eyelid,yǎnpí,眼皮,眼皮,
4,214,eyelash,jiémáo,睫毛,睫毛,
4,215,blink,zhǎyǎn,眨眼,眨眼,
4,220,ear,ěrduo,耳朵,耳朵,
4,221,earlobe,ěrchuí,耳垂,耳垂,
4,222,earwax,ěrshǐ,耳屎,耳屎,
4,230,nose,bízi,鼻子,鼻子,
4,231,nostril,bíkǒng,鼻孔,鼻孔,
4,232,mucus (nasal),bítì,鼻涕,鼻涕,
4,240,mouth,zuǐ,嘴,嘴,
4,241,beak,huì,喙,喙,
4,250,lip,zuǐchún,嘴唇,嘴唇,
4,260,tongue,shétou,舌头,舌頭,
4,270,tooth,yáchǐ,牙齿,牙齒,
4,271,gums,yáyín,牙龈,牙齦,
4,272,molartooth,jiùchǐ,臼齿,臼齒,
4,280,neck,jǐng,颈,頸,medical
4,280,neck,bózi,脖子,脖子,colloquial
4,281,nape of neck,bógěng,脖颈,脖頸,
4,290,throat,yānhóu,咽喉,咽喉,medical
4,290,throat,hóulóng,喉咙,喉嚨,colloquial
4,300,shoulder,jiān,肩,肩,medical
4,300,shoulder,jiānbǎng,肩膀,肩膀,colloquial
4,301,shoulderblade,jiānjiǎgǔ,肩胛骨,肩胛骨,
4,302,collarbone,suǒgǔ,锁骨,鎖骨,
4,310,arm,bì,臂,臂,medical
4,310,arm,gēbo,胳膊,胳膊,colloquial
4,312,armpit,yèwō,腋窝,腋窩,
4,320,elbow,zhǒu,肘,肘,
4,321,wrist,wànguānjié,腕关节,腕關節,
4,330,hand,shǒu,手,手,
4,331,palm of hand,shǒuzhǎng,手掌,手掌,
4,340,finger,shǒuzhǐ,手指,手指,
4,342,thumb,mǔzhǐ,拇指,拇指,
4,344,fingernail,shǒuzhījia,手指甲,手指甲,
4,345,claw,zhuǎzi,爪子,爪子,
4,350,leg,tuǐ,腿,腿,
4,351,thigh,dàtuǐ,大腿,大腿,
4,352,calf of leg,tuǐdù,腿肚,腿肚,
4,360,knee,xīguānjié,膝关节,膝關節,
4,370,foot,jiǎo,脚,腳,
4,371,ankle,jiǎohuái,脚踝,腳踝,
4,372,heel,jiǎohòugēn,脚后跟,腳後跟,
4,374,footprint,jiǎoyìn,脚印,腳印,
4,380,toe,jiǎozhǐ,脚趾,腳趾,
4,392,wing,chìbǎng,翅膀,翅膀,
4,393,feather,yǔmáo,羽毛,羽毛,
4,400,chest,xiōngtáng,胸膛,胸膛,
4,410,breast (of woman),rǔfáng,乳房,乳房,
4,412,"nipple, teat",rǔtóu,乳头,乳頭,
4,420,udder,rǔfáng,乳房,乳房,
4,430,navel,dùqí,肚脐,肚臍,
4,440,heart,xīnzàng,心脏,心臟,
4,441,lung,fèi,肺,肺,
4,450,liver,gānzàng,肝脏,肝臟,
4,451,kidney,shèn,肾,腎,
4,452,spleen,pí,脾,脾,
4,460,stomach,wèi,胃,胃,
4,461,"intestines, guts",cháng,肠,腸,
4,462,waist,yāo,腰,腰,
4,463,hip,kuān,髋,髖,
4,464,buttocks,tún,臀,臀,
4,470,womb,zǐgōng,子宫,子宮,
4,490,testicle,gāowán,睾丸,睾丸,
4,492,penis,yīnjīnɡ,阴茎,陰莖,
4,510,"breathe, breath",hūxī,呼吸,呼吸,
4,520,"yawn, gape",dǎ hāqian,打哈欠,打哈欠,
4,521,hiccough,dǎ gé,打嗝,打嗝,
4,530,cough,késou,咳嗽,咳嗽,
4,540,sneeze,dǎ pēntì,打喷嚏,打噴嚏,
4,550,perspire,chū hàn,出汗,出汗,
4,560,spit,tǔ kǒushuǐ,吐口水,吐口水,
4,570,vomit,ǒutù,呕吐,嘔吐,
4,580,bite,yǎo,咬,咬,
4,590,lick,tiǎn,舔,舔,
4,591,dribble,liú kǒushuǐ,流口水,流口水,
4,610,sleep,shuì jiào,睡觉,睡覺,
4,612,snore,dǎhān,打鼾,打鼾,
4,620,dream,zuò mèng,做梦,做夢,
4,630,wake up,jiàoxǐng,叫醒,叫醒,
4,640,break wind,páiqì,排气,排氣,
4,650,urinate,páiniào,排尿,排尿,
4,660,defecate,páibiàn,排便,排便,
4,670,have sexual intercourse,xìngjiāo,性交,性交,
4,680,shiver,chàndǒu,颤抖,顫抖,
4,690,bathe,xǐ zǎo,洗澡,洗澡,
4,710,beget (of father),,,,
4,720,born (to be),chūshēnɡ,出生,出生,
4,730,pregnant,huáiyùn,怀孕,懷孕,
4,732,conceive,huáiyùn,怀孕,懷孕,
4,740,"live, living, life",huó,活,活,be alive
4,740,"live, living, life",shēnghuó,生活,生活,life (abstract)
4,740,"live, living, life",shēngmìng,生命,生命,life (biological)
4,750,"die, dead",sǐ,死,死,die
4,750,"die, dead",sǐwáng,死亡,死亡,death
4,751,drowned,yānsǐ,淹死,淹死,
4,760,kill,shāsǐ,杀死,殺死,
4,770,corpse,shītǐ,尸体,屍體,
4,780,bury (the dead),máizàng,埋葬,埋葬,
4,790,"grave, tomb",fénmù,坟墓,墳墓,
4,810,"strong, mighty, powerful",qiáng,强,強,
4,820,weak,ruǎnruò,软弱,軟弱,
4,830,"well, health",jiànkāng,健康,健康,
4,840,"sick, sickness",bìng,病,病,short-term
4,840,"sick, sickness",jíbìng,疾病,疾病,long-term
4,841,fever,fāshāo,发烧,發燒,
4,842,goiter,jiǎzhuàngxiànzhǒng,甲状腺肿,甲狀腺腫,
4,843,cold (catarrh),gǎnmào,感冒,感冒,
4,850,"wound, sore",shāngkǒu,伤口,傷口,
4,852,bruise,yūqīng,淤青,淤青,
4,853,swelling,zhǒngzhàng,肿胀,腫脹,
4,854,itch,yǎng,痒,癢,
4,855,blister,shuǐpào,水疱,水皰,
4,856,boil (noun),jiē,疖,癤,
4,857,pus,nóng,脓,膿,
4,858,scar,bā,疤,疤,
4,860,"cure, heal",zhìyù,治愈,治癒,
4,870,physician,yīshēng,医生,醫生,both Northern and Southern
4,870,physician,dàifu,大夫,大夫,Northern
4,880,"medicine, drug",yào,药,藥,
4,890,poison,dú,毒,毒,
4,910,"tired, weary",lèi,累,累,
4,910,"tired, weary",píláo,疲劳,疲勞,
4,912,rest,xiūxi,休息,休息,
4,920,lazy,lǎnduò,懒惰,懶惰,
4,930,bald,tūtóu,秃头,禿頭,
4,940,lame,quétuǐ,瘸腿,瘸腿,
4,950,deaf,lóng,聋,聾,
4,960,mute,yǎ,哑,啞,
4,970,blind,xiā,瞎,瞎,
4,980,intoxicated,hēzuì,喝醉,喝醉,
4,990,"naked, bare",luǒlù,裸露,裸露,
5,110,eat,chī,吃,吃,
5,120,food,shíwù,食物,食物,
5,121,cooked,shāoshú,烧熟,燒熟,
5,122,raw,shēng,生,生,
5,123,ripe,chéngshú,成熟,成熟,
5,124,"green, unripe",wèi chéngshú,未成熟,未成熟,
5,125,rotten,fǔlàn,腐烂,腐爛,
5,130,drink,hē,喝,喝,
5,140,hunger,jī'è,饥饿,饑餓,
5,141,famine,jīhuāng,饥荒,饑荒,
5,150,thirst,kǒukě,口渴,口渴,
5,160,suck,xī,吸,吸,
5,180,chew,jǔjué,咀嚼,咀嚼,
5,181,swallow,tūn,吞,吞,
5,190,choke,zhìxī,窒息,窒息,
5,210,cook,pēngzhì,烹制,烹制,general
5,210,cook,zhǔ,煮,煮,in water
5,220,boil (vb),shāokāi,烧开,燒開,
5,230,"roast, fry",kǎo,烤,烤,roast
5,230,"roast, fry",yóujiān,油煎,油煎,fry
5,240,bake,hōng,烘,烘,
5,250,oven,kǎoxiāng,烤箱,烤箱,
5,260,"pot, cooking vessel",guō,锅,鍋,
5,270,kettle,shuǐhú,水壶,水壺,
5,280,pan,píngdǐguō,平底锅,平底鍋,
5,310,dish,diézi,碟子,碟子,
5,320,plate,pánzi,盘子,盤子,
5,330,bowl,wǎn,碗,碗,
5,340,"pitcher, jug",hú,壶,壺,
5,350,"cup, drinking vessel",bēizi,杯子,杯子,
5,360,saucer,chátuō,茶托,茶托,
5,370,spoon,chízi,匙子,匙子,Southern
5,370,spoon,sháozi,勺子,勺子,Northern
5,380,knife,dāo,刀,刀,
5,390,fork,chāzi,叉子,叉子,
5,391,tongs,jiāzi,夹子,夾子,
5,410,meal (a),cān,餐,餐,
5,410,meal (a),yìcān,一餐,一餐,
5,420,breakfast,zǎocān,早餐,早餐,
5,430,lunch,wǔcān,午餐,午餐,
5,440,dinner,wǎncān,晚餐,晚餐,
5,440,dinner,zhèngcān,正餐,正餐,
5,450,supper,wǎncān,晚餐,晚餐,
5,450,supper,xiāoyè,宵夜,宵夜,
5,460,peel,qùpí,去皮,去皮,
5,460,peel,xiāopí,削皮,削皮,
5,470,"sieve, strain",shāi,筛,篩,solid
5,470,"sieve, strain",guòlǜ,过滤,過濾,liquid
5,480,scrape,guā,刮,刮,
5,490,"stir, mix",jiǎodòng,搅动,攪動,stir
5,490,"stir, mix",hùnhé,混合,混合,mix
5,510,bread,miànbāo,面包,麵包,
5,530,dough,shēng miàntuán,生面团,生麵團,
5,540,knead,róu,揉,揉,
5,550,"meal, flour",miànfěn,面粉,麵粉,
5,560,"crush, grind",yā suì,压碎,壓碎,crush
5,560,"crush, grind",mó suì,磨碎,磨碎,grind
5,570,mill,mòfáng,磨坊,磨坊,
5,580,mortar,yánbō,研钵,研缽,
5,590,pestle,chǔ,杵,杵,
5,610,meat,ròu,肉,肉,
5,630,sausage,xiāngcháng,香肠,香腸,
5,640,"soup, broth",tāng,汤,湯,
5,650,vegetables,shūcài,蔬菜,蔬菜,
5,660,bean,dòu,豆,豆,
5,700,potato,tǔdòu,土豆,土豆,
5,710,fruit,shuǐguǒ,水果,水果,
5,712,bunch,shù,束,束,flowers
5,712,bunch,chuàn,串,串,other
5,750,fig,wúhuāguǒ,无花果,無花果,
5,760,grape,pútáo,葡萄,葡萄,
5,770,nut,jiānguǒ,坚果,堅果,
5,780,olive,gǎnlǎn,橄榄,橄欖,
5,790,oil,yóu,油,油,
5,791,"grease, fat",yóuzhī,油脂,油脂,
5,810,salt,yán,盐,鹽,
5,820,pepper,hújiāofěn,胡椒粉,胡椒粉,
5,821,chili pepper,làjiāo,辣椒,辣椒,
5,840,honey,fēngmì,蜂蜜,蜂蜜,
5,850,sugar,táng,糖,糖,
5,860,milk (noun),nǎi,奶,奶,
5,870,milk (vb),jǐ nǎi,挤奶,擠奶,
5,880,cheese,nǎilào,奶酪,奶酪,
5,890,butter,huángyóu,黄油,黃油,
5,900,"beverage, drink",yǐnliào,饮料,飲料,
5,910,mead,fēngmìjiǔ,蜂蜜酒,蜂蜜酒,
5,920,wine,pútaojiǔ,葡萄酒,葡萄酒,
5,930,beer,píjiǔ,啤酒,啤酒,
5,940,fermented drink,jiǔ,酒,酒,
5,970,egg,dàn,蛋,蛋,
5,971,egg yolk,dànhuáng,蛋黄,蛋黃,
6,110,put on (clothes),chuān,穿,穿,
6,120,"clothing, clothes",yīfu,衣服,衣服,
6,130,tailor,cáifeng,裁缝,裁縫,
6,210,cloth,bùliào,布料,布料,
6,220,wool,yángmáo,羊毛,羊毛,
6,230,"linen, flax",yàmá,亚麻,亞麻,
6,240,cotton,miánbù,棉布,棉布,
6,250,silk,sīchóu,丝绸,絲綢,
6,270,felt,máozhān,毛毡,毛氈,
6,280,fur,máopí,毛皮,毛皮,
6,290,leather,pígé,皮革,皮革,
6,310,spin,fǎng,纺,紡,
6,320,spindle,fǎngchuí,纺锤,紡錘,
6,330,weave,biānzhī,编织,編織,
6,340,loom,zhībùjī,织布机,織布機,
6,350,sew,féng,缝,縫,
6,360,needle,zhēn,针,針,
6,370,awl,jiānzhuī,尖锥,尖錐,
6,380,thread,xiàn,线,線,
6,390,dye,rǎnliào,染料,染料,
6,410,cloak,pīfēng,披风,披風,
6,411,poncho,dǒupéng,斗篷,斗篷,
6,420,woman's dress,liányīqún,连衣裙,連衣裙,
6,430,coat,wàitào,外套,外套,
6,440,shirt,chènshān,衬衫,襯衫,
6,450,collar,lǐngzi,领子,領子,
6,460,skirt,qúnzi,裙子,裙子,
6,461,grass-skirt,cǎoqún,草裙,草裙,
6,480,trousers,kùzi,裤子,褲子,
6,490,"stocking, sock",chángwà,长袜,長襪,stocking
6,490,"stocking, sock",wàzi,袜子,襪子,sock
6,510,shoe,xié,鞋,鞋,
6,520,boot,xuēzi,靴子,靴子,
6,540,"shoemaker, cobbler",xiéjiàng,鞋匠,鞋匠,
6,550,"hat, cap",màozi,帽子,帽子,
6,570,"belt, girdle",yāodài,腰带,腰帶,
6,580,glove,shǒutào,手套,手套,
6,590,veil,miànshā,面纱,面紗,
6,610,pocket,yīdài,衣袋,衣袋,
6,620,button,niǔkòu,纽扣,紐扣,
6,630,pin,biézhēn,别针,別針,
6,710,"ornament, adornment",zhuāngshìpǐn,装饰品,裝飾品,
6,720,jewel,zhūbǎo,珠宝,珠寶,
6,730,ring (for finger),jièzhi,戒指,戒指,
6,740,bracelet,shǒuzhuó,手镯,手鐲,
6,750,necklace,xiàngliàn,项链,項鏈,
6,760,bead,zhūzi,珠子,珠子,
